,#,Вилоят,Туман(шахар),Мутахассислик,Корхона номи,СТИР(ИНН),Маош,Ставка,Бўш иш ўринлари сони,Вакансия эълон қилинган сана
32,33,Тошкент шаҳри,Миробод тумани,Моддий-техника таминоти бўлими бошлиғи / Начальник отдела материально-технического снабжения,OZB. KON-GEOLOGIYA FAOLIYATINI NAZORAT QILISH INSPEKSIYASI,305601316,1278459,1.0,1,2019-10-31
33,34,Бухоро вилояти,Когон шаҳар,Аккомпаниатор / Аккомпаниатор,МАРКАЗИЙ МАДАНИЯТ ВА АХОЛИ ДАМ ОЛИШ МАРКАЗИ,201108958,630551,0.5,1,2019-10-31
34,35,Хоразм вилояти,Хива тумани,Психолог / Психолог,18-СОН МТМ,207087332,519366,0.5,1,2019-10-31
35,36,Тошкент шаҳри,Олмазор тумани,Умумий амалиёт хамшираси / Медицинская сестра общей практики,17-(42)-SON OILAVIY POLIKLINIK,205172592,1119262,0.75,1,2019-10-31
36,37,Тошкент шаҳри,Миробод тумани,Геология бўйича бош мутахассис / Главный специалист по геологии,OZB. KON-GEOLOGIYA FAOLIYATINI NAZORAT QILISH INSPEKSIYASI,305601316,1278459,1.0,2,2019-10-31
37,38,Тошкент шаҳри,Шайхонтохур тумани,Бўлим бошлиғи (тижорат ташкилотларида) / Начальник отдела (в коммерческих организациях),ASIA ALLIANCE BANK ШАЙХ-УР ФИЛ,207149340,3074089,1.0,2,2019-10-31
38,39,Бухоро вилояти,Когон шаҳар,Халқ чолғулари хаваскорлари ансамбили раҳабари / Руководитель самодеятельного ансамбля (оркестра) народных инструментов,МАРКАЗИЙ МАДАНИЯТ ВА АХОЛИ ДАМ ОЛИШ МАРКАЗИ,201108958,521117,0.5,1,2019-10-31
39,40,Хоразм вилояти,Хива тумани,Умумий амалиёт хамшираси / Медицинская сестра общей практики,18-СОН МТМ,207087332,266540,0.25,1,2019-10-31
40,41,Тошкент шаҳри,Олмазор тумани,Умумий амалиёт хамшираси / Медицинская сестра общей практики,17-(42)-SON OILAVIY POLIKLINIK,205172592,1119262,1.0,1,2019-10-31
41,42,Тошкент шаҳри,Миробод тумани,Ахборот хавфсизлиги бўйича мутахассиси / Специалист по информационной безопасности,OZB. KON-GEOLOGIYA FAOLIYATINI NAZORAT QILISH INSPEKSIYASI,305601316,597863,0.5,1,2019-10-31
42,43,Қорақалпоғистон Республикаси,Хўжайли тумани,ўт ёқувчи / Истопник,ОБЩЕОБРАЗОВАТЕЛЬНАЯ СРЕДНЯЯ   ШКОЛА ь 21,206908385,730112,1.0,2,2019-10-31
43,44,Тошкент шаҳри,Юнусобод тумани,Бўлим бошлиғи (бошқа тармоқларда) / Начальник отдела (в прочих отраслях),Худудий электр тармоқлари,306350099,1903370,1.0,1,2019-10-31
44,45,Хоразм вилояти,Хива тумани,ўт ёқувчи / Истопник,18-СОН МТМ,207087332,630880,1.0,1,2019-10-31
45,46,Тошкент шаҳри,Олмазор тумани,Хизмат хоналари фарроши / Уборщик служебных помещений,17-(42)-SON OILAVIY POLIKLINIK,205172592,805663,1.0,1,2019-10-31
46,47,Тошкент шаҳри,Миробод тумани,Девонхона раҳбари / Заведующий канцелярией,OZB. KON-GEOLOGIYA FAOLIYATINI NAZORAT QILISH INSPEKSIYASI,305601316,955332,1.0,1,2019-10-31
47,48,Қорақалпоғистон Республикаси,Хўжайли тумани,ўқитувчи / Преподаватель,ОБЩЕОБРАЗОВАТЕЛЬНАЯ СРЕДНЯЯ   ШКОЛА ь 21,206908385,155404,0.25,1,2019-10-31
48,49,Тошкент шаҳри,Юнусобод тумани,Мухандис-энергетик / Инженер-энергетик,Худудий электр тармоқлари,306350099,1326265,1.0,1,2019-10-31
49,50,Хоразм вилояти,Урганч шаҳар,Хизмат хоналари фарроши / Уборщик служебных помещений,УРГАНЧ ШАХАР 1-СОН БОЛАЛАР МУСИКА ВА САНЪАТИ МАКТАБИ,203491919,158700,0.25,1,2019-10-31
50,51,Сурхондарё вилояти,Узун тумани,ўқитувчи / Учитель,13-УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,206863017,850000,1.0,2,2019-10-31
51,52,Андижон вилояти,Жалолқудуқ тумани,ўт ёқувчи / Истопник,ЖАЛАКУДУК ТУМАН 49-УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,207303600,650000,1.0,3,2019-10-31
52,53,Тошкент шаҳри,Юнусобод тумани,Бошқарма бошлиғи ўринбосари / Заместитель начальника управления,Худудий электр тармоқлари,306350099,1990726,1.0,1,2019-10-31
53,54,Хоразм вилояти,Урганч шаҳар,Мусиқа асбобларини таъмирловчи-созловчи / Ремонтировщик-настройщик музыкальных инструментов,УРГАНЧ ШАХАР 1-СОН БОЛАЛАР МУСИКА ВА САНЪАТИ МАКТАБИ,203491919,668340,1.0,1,2019-10-31
54,55,Сурхондарё вилояти,Сариосиё тумани,Оператор / Оператор,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""SARIOSIYO AGROSERV",305129009,750000,1.0,1,2019-10-31
55,56,Тошкент шаҳри,Юнусобод тумани,Бош мутахассис / Главный специалист,Худудий электр тармоқлари,306350099,1512285,1.0,1,2019-10-31
56,57,Хоразм вилояти,Урганч шаҳар,Концертмейстер / Концертмейстер,УРГАНЧ ШАХАР 1-СОН БОЛАЛАР МУСИКА ВА САНЪАТИ МАКТАБИ,203491919,1198541,1.0,20,2019-10-31
57,58,Қорақалпоғистон Республикаси,Шўманай тумани,ўқитувчи / Учитель,29 ОРТА МЕКТЕП,206883561,1655010,0.75,1,2019-10-31
58,59,Тошкент шаҳри,Юнусобод тумани,Бошқарма бошлиғи (давлат ҳокимияти ва бошқарув органларида) / Начальник управления (в органах государственной власти и управления),Худудий электр тармоқлари,306350099,2211921,1.0,1,2019-10-31
59,60,Андижон вилояти,Жалолқудуқ тумани,ўқитувчи / Учитель,38-УМУМТАЪЛИМ МАКТАБИ.,206875279,850000,1.0,3,2019-10-31
60,61,Қорақалпоғистон Республикаси,Шўманай тумани,ўқитувчи / Учитель,29 ОРТА МЕКТЕП,206883561,861139,0.5,1,2019-10-31
61,62,Тошкент шаҳри,Юнусобод тумани,"Бошқарма, бўлим бош мутахассиси (давлат хокимияти ва бошқарув органларида) / Главный специалист отдела, управления (в органах государственной власти и управления)",Худудий электр тармоқлари,306350099,1512285,1.0,1,2019-10-31
62,63,Андижон вилояти,Олтинкўл тумани,Тикувчи / Швея,"ЧАСТНОЕ ПРЕДПРИЯТИЕ ""SHODMONBEK""",202371925,700000,1.0,30,2019-10-31
63,64,Андижон вилояти,Жалолқудуқ тумани,ўт ёқувчи / Истопник,38-УМУМТАЪЛИМ МАКТАБИ.,206875279,650000,1.0,2,2019-10-31
64,65,Қорақалпоғистон Республикаси,Шўманай тумани,ўқитувчи / Учитель,29 ОРТА МЕКТЕП,206883561,733150,0.5,1,2019-10-31
65,66,Тошкент шаҳри,Юнусобод тумани,Бошқарма бошлиғи (давлат ҳокимияти ва бошқарув органларида) / Начальник управления (в органах государственной власти и управления),Худудий электр тармоқлари,306350099,2211921,1.0,1,2019-10-31
66,67,Сурхондарё вилояти,Жарқўрғон тумани,Болалар мусиқа ва санъат мактаблари ўқитувчиси / Учитель детскихмузыкальных школи школискусств,ЖАРКУРГОН 5-СОНЛИ БММ,205608087,1211141,1.0,3,2019-10-31
67,68,Наманган вилояти,Тўрақўрғон тумани,ўқитувчи / Преподаватель,61-УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,206901214,1635000,1.0,1,2019-10-31
68,69,Қорақалпоғистон Республикаси,Шўманай тумани,ўқитувчи / Учитель,29 ОРТА МЕКТЕП,206883561,678507,0.25,1,2019-10-31
69,70,Тошкент шаҳри,Юнусобод тумани,Бош мутахассис / Главный специалист,Худудий электр тармоқлари,306350099,1512285,1.0,1,2019-10-31
70,71,Фарғона вилояти,Бешариқ тумани,ўт ёқувчи / Истопник,27-МАКТАБГАЧА ТАЪЛИМ МУАССАСА,207089084,610000,1.0,1,2019-10-31
71,72,Сурхондарё вилояти,Жарқўрғон тумани,Мусиқа асбобларини таъмирловчи-созловчи / Ремонтировщик-настройщик музыкальных инструментов,ЖАРКУРГОН 5-СОНЛИ БММ,205608087,668331,1.0,2,2019-10-31
72,73,Наманган вилояти,Тўрақўрғон тумани,ўқитувчи / Преподаватель,61-УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,206901214,1635000,1.0,1,2019-10-31
73,74,Қорақалпоғистон Республикаси,Шўманай тумани,ўқитувчи / Учитель,29 ОРТА МЕКТЕП,206883561,476572,0.25,1,2019-10-31
74,75,Тошкент шаҳри,Юнусобод тумани,Бошқарма бошлиғи ўринбосари / Заместитель начальника управления,Худудий электр тармоқлари,306350099,1990729,1.0,1,2019-10-31
75,76,Самарқанд вилояти,Каттақўрғон шаҳар,қўлда нихоясига етказувчи ишчи / Рабочий ручной доработки,СПISHONCHLI SAYOXAT KELAJAGI,305456813,1150000,1.0,15,2019-10-31
76,77,Фарғона вилояти,Бешариқ тумани,Хўжалик мудири / Заведующий хозяйством,27-МАКТАБГАЧА ТАЪЛИМ МУАССАСА,207089084,710000,1.0,1,2019-10-31
77,78,Наманган вилояти,Тўрақўрғон тумани,ўқитувчи / Преподаватель,61-УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,206901214,817500,0.5,1,2019-10-31
78,79,Қорақалпоғистон Республикаси,Шўманай тумани,ўқитувчи / Учитель,29 ОРТА МЕКТЕП,206883561,655444,0.25,1,2019-10-31
79,80,Тошкент шаҳри,Юнусобод тумани,Бошқарма бошлиғи ўринбосари / Заместитель начальника управления,Худудий электр тармоқлари,306350099,1990729,1.0,1,2019-10-31
80,81,Қорақалпоғистон Республикаси,Шўманай тумани,Болалар мактабгача таълим муассасаси ўқитувчиси / Учитель детских дошкольных учреждений,7-САНЛЫ МЕКТЕПКЕ ШЕКЕМГИ БИЛИМЛЕНДИРИУ МАКЕМЕСИ,207056039,484375,0.25,1,2019-10-31
81,82,Фарғона вилояти,Бешариқ тумани,ўт ёқувчи / Истопник,27-МАКТАБГАЧА ТАЪЛИМ МУАССАСА,207089084,610000,1.0,1,2019-10-31
82,83,Самарқанд вилояти,Каттақўрғон шаҳар,Психолог / Психолог,17-УРТА МАКТАБ,300471087,799218,0.5,1,2019-10-31
83,84,Фарғона вилояти,Қува тумани,ўқитувчи / Учитель,8-МАКТАБГАЧА ТАЪЛИМ МУАССАСА,207035855,600000,1.0,2,2019-10-31
84,85,Қорақалпоғистон Республикаси,Шўманай тумани,Кутубхоначи / Библиотекарь,29 ОРТА МЕКТЕП,206883561,441251,0.5,1,2019-10-31
85,86,Тошкент шаҳри,Юнусобод тумани,Бўлим бошлиғи ўринбосари / Заместитель начальника отдела,Худудий электр тармоқлари,306350099,1713033,1.0,1,2019-10-31
86,87,Қорақалпоғистон Республикаси,Шўманай тумани,Болалар мактабгача таълим муассасаси ўқитувчиси / Учитель детских дошкольных учреждений,7-САНЛЫ МЕКТЕПКЕ ШЕКЕМГИ БИЛИМЛЕНДИРИУ МАКЕМЕСИ,207056039,484375,0.25,1,2019-10-31
87,88,Тошкент шаҳри,Шайхонтохур тумани,Транспорт воситаларини техник назорати бўйича муҳандис / Инженер по техническому осмотру транспортных средств,HAMKOR IMKON BIZNES MCHJ,302873108,650000,0.5,1,2019-10-31
88,89,Фарғона вилояти,Бешариқ тумани,Хўжалик мудири / Заведующий хозяйством,27-МАКТАБГАЧА ТАЪЛИМ МУАССАСА,207089084,710000,1.0,1,2019-10-31
89,90,Жиззах вилояти,Арнасой тумани,ўт ёқувчи / Истопник,Г.ГУЛОМ НОМЛИ 5-СОН МАКТАБ,203193204,634881,1.0,1,2019-10-31
90,91,Тошкент шаҳри,Юнусобод тумани,Бошқарма бошлиғи (бошқа тармоқларда) / Начальник управления (в прочих отраслях),Худудий электр тармоқлари,306350099,2211921,1.0,1,2019-10-31
91,92,Қорақалпоғистон Республикаси,Шўманай тумани,Мактабгача таълим муассасаси мусиқа раҳбари / Руководитель музыкальный в дошкольных образовательных учреждениях,7-САНЛЫ МЕКТЕПКЕ ШЕКЕМГИ БИЛИМЛЕНДИРИУ МАКЕМЕСИ,207056039,217360,0.25,1,2019-10-31
92,93,Тошкент шаҳри,Шайхонтохур тумани,Новвой / Пекарь,HAMKOR IMKON BIZNES MCHJ,302873108,880000,1.0,1,2019-10-31
93,94,Самарқанд вилояти,Самарқанд шаҳар,қозонхона оператори / Оператор котельной,АХБОРОТ ТЕХНО-Я.УНИВЕР.САМ.ФИЛ,205773414,634881,1.0,8,2019-10-31
94,95,Тошкент шаҳри,Юнусобод тумани,Бош мутахассис / Главный специалист,Худудий электр тармоқлари,306350099,1512285,1.0,1,2019-10-31
95,96,Фарғона вилояти,Боғдод тумани,ўқитувчи / Учитель,1-УМУМИЙ УРТА ТАЪЛИМ МАТКАБИ,203259444,750000,0.5,1,2019-10-31
96,97,Тошкент шаҳри,Юнусобод тумани,Офис бўйича менеджер / Офис менеджер (менеджер офиса),Худудий электр тармоқлари,306350099,1326265,1.0,3,2019-10-31
97,98,Фарғона вилояти,Боғдод тумани,ўқитувчи / Учитель,1-УМУМИЙ УРТА ТАЪЛИМ МАТКАБИ,203259444,750000,0.5,1,2019-10-31
98,99,Фарғона вилояти,Учкўприк тумани,Санитар энага / Санитар-няня,31-СОН МАКТАБГАЧА ТАЪЛИМ МУАССАСАСИ,301268155,310000,0.5,1,2019-10-31
99,100,Тошкент шаҳри,Юнусобод тумани,Енгил автомобил ҳайдовчиси / Водитель автомобиля (легкового),Худудий электр тармоқлари,306350099,714875,1.0,2,2019-10-31
100,101,Фарғона вилояти,Боғдод тумани,ўқитувчи / Учитель,1-УМУМИЙ УРТА ТАЪЛИМ МАТКАБИ,203259444,850000,0.75,1,2019-10-31
101,102,Самарқанд вилояти,Пастдарғом тумани,Автомобиль кузовини таъмирлаш бўйича техник / Техник по ремонту кузовов автомобилей,LOBAR DILBAR NURI ХУСУСИЙ КОРХОНАСИ,303792556,650000,1.0,2,2019-10-31
102,103,Фарғона вилояти,Боғдод тумани,ўқитувчи / Учитель,1-УМУМИЙ УРТА ТАЪЛИМ МАТКАБИ,203259444,750000,0.5,1,2019-10-31
103,104,Қорақалпоғистон Республикаси,Кегейли тумани,ўқитувчи / Учитель,N 37 СРЕДНАЯ ШКОЛА,206868974,538268,0.25,1,2019-10-31
104,105,Жиззах вилояти,Арнасой тумани,ўқитувчи / Учитель,АРНАСОЙ ТУМАН А.НАВОИЙ НОМЛИ  6-СОН УМ.УРТА.ТАЪЛ.МАКТАБИ,203679659,1776040,1.0,1,2019-10-31
105,106,Самарқанд вилояти,Пастдарғом тумани,Ёрдамчи ишчи / Разнорабочий,LOBAR DILBAR NURI ХУСУСИЙ КОРХОНАСИ,303792556,650000,1.0,3,2019-10-31
106,107,Фарғона вилояти,Боғдод тумани,ўқитувчи / Учитель,1-УМУМИЙ УРТА ТАЪЛИМ МАТКАБИ,203259444,750000,0.5,1,2019-10-31
107,108,Қорақалпоғистон Республикаси,Кегейли тумани,ўқитувчи / Учитель,N 37 СРЕДНАЯ ШКОЛА,206868974,925164,0.25,1,2019-10-31
108,109,Самарқанд вилояти,Каттақўрғон шаҳар,ўқитувчи / Учитель,ИКТИСОДИЕТ КОЛЕЖИ К-КУРГОН Ш,200722385,956619,1.0,1,2019-10-31
109,110,Жиззах вилояти,Ғаллаорол тумани,Ёрдамчи ишчи / Подсобный рабочий,SERIY GRANIT МЧЖ,305918933,700000,1.0,6,2019-10-31
110,111,Қорақалпоғистон Республикаси,Кегейли тумани,ўқитувчи / Учитель,N 37 СРЕДНАЯ ШКОЛА,206868974,267000,0.25,1,2019-10-31
111,112,Фарғона вилояти,Қува тумани,Техник / Авиационный механик (техник) по планеру и двигателям,20-УРТА УМУМ ТАЪЛИМ МАКТАБИ,203294996,600000,1.0,3,2019-10-31
112,113,Тошкент шаҳри,Олмазор тумани,Жисмоний тарбия бўйича йўриқчи / Инструктор по физкультуре,ORASTA 94-SON DA.MAK.T.V.B.T.M,301248274,668799,1.0,1,2019-10-31
113,114,Фарғона вилояти,Қува тумани,ўқитувчи / Учитель,20-УРТА УМУМ ТАЪЛИМ МАКТАБИ,203294996,880000,0.5,1,2019-10-31
114,115,Қорақалпоғистон Республикаси,Хўжайли тумани,қўриқчи / Охранник,СР ШК № 17,206890894,600000,1.0,1,2019-10-31
115,116,Самарқанд вилояти,Каттақўрғон шаҳар,Мусиқа раҳбари / Руководитель музыкальный,1-УРТА МАКТАБ,300470911,1045000,0.25,1,2019-10-31
116,117,Тошкент шаҳри,Олмазор тумани,Жисмоний тарбия бўйича йўриқчи / Инструктор по физкультуре,ORASTA 94-SON DA.MAK.T.V.B.T.M,301248274,334399,0.25,1,2019-10-31
117,118,Тошкент шаҳри,Юнусобод тумани,Ташкилотчи-педагог / Педагог-организатор,НОУ KIDS BOSS,306632783,800000,0.75,1,2019-10-31
118,119,Фарғона вилояти,Қува тумани,ўқитувчи / Учитель,20-УРТА УМУМ ТАЪЛИМ МАКТАБИ,203294996,888000,0.25,1,2019-10-31
