,#,Вилоят,Туман(шахар),Мутахассислик,Корхона номи,СТИР(ИНН),Маош,Ставка,Бўш иш ўринлари сони,Вакансия эълон қилинган сана
496,497,Самарқанд вилояти,Самарқанд шаҳар,Сотув ишлари менеджери / Менеджер по продажам,МЧЖ ШАКЛ. ASKLEPIY  ЧЕТ ЭЛ КОР,200712872,1500000,1.0,3,2019-10-31
497,498,Хоразм вилояти,Урганч шаҳар,Соғлиқни сақлаш муассасаси санитари (санитаркаси) / Санитар (санитарка) в учреждении здравоохранения,ПАТОЛОГОАНАТОМИК ЭКСПЕРТ БЮРОС,201970236,499001,0.5,1,2019-10-31
498,499,Сирдарё вилояти,Оқолтин тумани,Автомобилларни таъмирловчи чилангар / Слесарь по ремонту автомобилей,УЧРЕЖДЕНИЕ ,305085745,366130,0.5,1,2019-10-31
499,500,Тошкент шаҳри,Юнусобод тумани,Научный сотрудник / Научный сотрудник,TEMURIYLAR TARIXI DAVLAT MUZEYI,201777499,1785343,1.0,3,2019-10-31
500,501,Хоразм вилояти,Урганч шаҳар,Директор / Генеральный директор генеральной дирекции,QISHLOQ QURILISH INVEST  МЧЖ И.К ХОРАЗМ ФИЛИАЛИ,207167723,2900132,1.0,1,2019-10-31
501,502,Тошкент шаҳри,Сергели тумани,Санитар энага / Санитар-няня,"ЧАСТНОЕ ПРЕДПРИЯТИЕ ""EXCLUSIVE GARDEN""",303426692,800000,1.0,2,2019-10-31
502,503,Наманган вилояти,Наманган тумани,ўқитувчи / Учитель,25-УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,206897615,750000,0.5,1,2019-10-31
503,504,Самарқанд вилояти,Каттақўрғон шаҳар,Тарбиячи / Воспитатель,1-МТМ,207052448,1200000,1.0,1,2019-10-31
504,505,Хоразм вилояти,Урганч шаҳар,Соғлиқни сақлаш муассасаси санитари (санитаркаси) / Санитар (санитарка) в учреждении здравоохранения,ПАТОЛОГОАНАТОМИК ЭКСПЕРТ БЮРОС,201970236,499001,0.5,1,2019-10-31
505,506,Сирдарё вилояти,Оқолтин тумани,Хисобчи / Счетовод,УЧРЕЖДЕНИЕ ,305085745,1013042,0.5,1,2019-10-31
506,507,Тошкент шаҳри,Юнусобод тумани,Реставратор / Реставратор,TEMURIYLAR TARIXI DAVLAT MUZEYI,201777499,1835400,1.0,1,2019-10-31
507,508,Хоразм вилояти,Урганч шаҳар,Бош муҳандис (бошқа сохаларда) / Главный инженер (в прочих отраслях),QISHLOQ QURILISH INVEST  МЧЖ И.К ХОРАЗМ ФИЛИАЛИ,207167723,2727444,1.0,1,2019-10-31
508,509,Хоразм вилояти,Хива тумани,ўқитувчи / Учитель,17-СОН УМ УРТА ТАЪЛИМ МАКТАБИ,206907933,918500,0.5,1,2019-10-31
509,510,Хоразм вилояти,Урганч шаҳар,Соғлиқни сақлаш муассасаси санитари (санитаркаси) / Санитар (санитарка) в учреждении здравоохранения,ПАТОЛОГОАНАТОМИК ЭКСПЕРТ БЮРОС,201970236,499001,0.5,1,2019-10-31
510,511,Сирдарё вилояти,Оқолтин тумани,Техник-гидротехник / Техник-гидротехник,УЧРЕЖДЕНИЕ ,305085745,366130,0.5,1,2019-10-31
511,512,Тошкент шаҳри,Юнусобод тумани,Рассом-конструктор (дизайнер) / Художник-конструктор (дизайнер),TEMURIYLAR TARIXI DAVLAT MUZEYI,201777499,1098554,1.0,1,2019-10-31
512,513,Хоразм вилояти,Урганч шаҳар,Юрист / Юрист,QISHLOQ QURILISH INVEST  МЧЖ И.К ХОРАЗМ ФИЛИАЛИ,207167723,2228429,1.0,1,2019-10-31
513,514,Хоразм вилояти,Хива тумани,ўқитувчи / Учитель,42-СОН ИХТИСОС УМ УРТА Т МАКТА,206908077,312500,0.25,1,2019-10-31
514,515,Фарғона вилояти,Боғдод тумани,ўқитувчи / Учитель,"УЧРЕЖДЕНИЕ ""BAG`DOD TUMANI XTB GA QARASHLI 56 UMUMIY O`RTA TA`LIM MAKTABI""",306271008,1250000,1.0,1,2019-10-31
515,516,Сирдарё вилояти,Оқолтин тумани,Гидротехник объектларга қаровчи / Осмотрщик гидротехнических объектов,УЧРЕЖДЕНИЕ ,305085745,319097,0.5,1,2019-10-31
516,517,Тошкент шаҳри,Юнусобод тумани,Омбор мудири (муассаса ва ташкилотларда) / Заведующий складом (учреждений и организаации),TEMURIYLAR TARIXI DAVLAT MUZEYI,201777499,868495,1.0,1,2019-10-31
517,518,Хоразм вилояти,Урганч шаҳар,Мутахассис / Специалист,QISHLOQ QURILISH INVEST  МЧЖ И.К ХОРАЗМ ФИЛИАЛИ,207167723,1611325,1.0,1,2019-10-31
518,519,Сирдарё вилояти,Янгиер шаҳар,Етакчи мухандис / Ведущий инженер,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ZHONGYA""",305067158,1600000,1.0,1,2019-10-31
519,520,Фарғона вилояти,Боғдод тумани,ўқитувчи / Учитель,"УЧРЕЖДЕНИЕ ""BAG`DOD TUMANI XTB GA QARASHLI 56 UMUMIY O`RTA TA`LIM MAKTABI""",306271008,1250000,1.0,1,2019-10-31
520,521,Тошкент шаҳри,Юнусобод тумани,Хизмат хоналари фарроши / Уборщик служебных помещений,TEMURIYLAR TARIXI DAVLAT MUZEYI,201777499,634881,1.0,1,2019-10-31
521,522,Сирдарё вилояти,Янгиер шаҳар,Ёрдамчи ишчи / Разнорабочий,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ZHONGYA""",305067158,800000,1.0,3,2019-10-31
522,523,Сурхондарё вилояти,Бойсун тумани,Архитектор / Архитектор,ВИЛОЯТ АРХИТЕКТУРА ВА КУРИЛИШ БОШ БОШКАРМАСИ,200475384,1215650,1.0,1,2019-10-31
523,524,Тошкент шаҳри,Юнусобод тумани,Гардеробчи / Гардеробщик,TEMURIYLAR TARIXI DAVLAT MUZEYI,201777499,634881,1.0,1,2019-10-31
524,525,Тошкент шаҳри,Юнусобод тумани,Катта илмий ходим / Старший научный сотрудник,TEMURIYLAR TARIXI DAVLAT MUZEYI,201777499,1963877,1.0,1,2019-10-31
525,526,Қашқадарё вилояти,Муборак тумани,Ёрдамчи ишчи / Подсобный рабочий,"""JABBOR HOLIQ HAYDAROVICH"" FERMER XO`JALIGI",304672783,730500,1.0,16,2019-10-31
526,527,Қорақалпоғистон Республикаси,Қораўзак тумани,Официант / Официант,NIETBAY URAQBAEV  ЖУУАПКЕРШИЛИГИ ШЕКЛЕНГЕН ЖАМИЙЕТ,301451238,700000,1.0,1,2019-10-31
527,528,Тошкент шаҳри,Юнусобод тумани,Научный сотрудник / Научный сотрудник,TEMURIYLAR TARIXI DAVLAT MUZEYI,201777499,1785343,1.0,3,2019-10-31
528,529,Тошкент шаҳри,Шайхонтохур тумани,Умумий амалиёт врачи / Врач общей практики,45-OILAVIY POLIKLINIKA,203250781,1716654,1.0,1,2019-10-31
529,530,Тошкент шаҳри,Юнусобод тумани,Реставратор / Реставратор,TEMURIYLAR TARIXI DAVLAT MUZEYI,201777499,1835400,1.0,1,2019-10-31
530,531,Қорақалпоғистон Республикаси,Амударё тумани,ўқитувчи / Учитель,74-СОН УМУМИЙ УРТА МАКТАБ,206914427,890000,0.5,1,2019-10-31
531,532,Тошкент шаҳри,Шайхонтохур тумани,Умумий амалиёт врачи / Врач общей практики,45-OILAVIY POLIKLINIKA,203250781,1560331,1.0,1,2019-10-31
532,533,Қашқадарё вилояти,Қарши тумани,ўқитувчи / Учитель,31-СОНЛИ УМ.УРТА ТАЪЛИМ МАКТАБ,203897127,502000,1.0,1,2019-10-31
533,534,Самарқанд вилояти,Каттақўрғон шаҳар,ўқитувчи / Учитель,20-УРТА УМУМИЙ ТАЪЛИМ МАКТАБИ,300434685,1650000,1.0,3,2019-10-31
534,535,Тошкент шаҳри,Юнусобод тумани,Рассом-конструктор (дизайнер) / Художник-конструктор (дизайнер),TEMURIYLAR TARIXI DAVLAT MUZEYI,201777499,1098554,1.0,1,2019-10-31
535,536,Тошкент шаҳри,Шайхонтохур тумани,Умумий амалиёт врачи / Врач общей практики,45-OILAVIY POLIKLINIKA,203250781,858327,0.5,1,2019-10-31
536,537,Тошкент шаҳри,Юнусобод тумани,Омбор мудири (муассаса ва ташкилотларда) / Заведующий складом (учреждений и организаации),TEMURIYLAR TARIXI DAVLAT MUZEYI,201777499,868495,1.0,1,2019-10-31
537,538,Бухоро вилояти,Пешку туман,Ёрдамчи ишчи / Разнорабочий,"ФЕРМЕРСКОЕ ХОЗЯЙСТВО ""CHUQURAK""",203791727,700000,1.0,2,2019-10-31
538,539,Тошкент шаҳри,Шайхонтохур тумани,Умумий амалиёт врачи / Врач общей практики,45-OILAVIY POLIKLINIKA,203250781,429163,0.25,1,2019-10-31
539,540,Тошкент шаҳри,Юнусобод тумани,Хизмат хоналари фарроши / Уборщик служебных помещений,TEMURIYLAR TARIXI DAVLAT MUZEYI,201777499,634881,1.0,1,2019-10-31
540,541,Тошкент шаҳри,Сергели тумани,қадоқлаш автомати оператори / Оператор расфасовочно-упаковочного автомата,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""DENTAFILL PLYUS """,205833140,1000000,1.0,30,2019-10-31
541,542,Наманган вилояти,Чортоқ тумани,Электр жихозларни таъмирлаш бўйича электрик / Слесарь-электрик по ремонту электрооборудования,CH T 20-S D I U M,305704495,702000,1.0,1,2019-10-31
542,543,Тошкент шаҳри,Шайхонтохур тумани,Умумий амалиёт хамшираси / Медицинская сестра общей практики,45-OILAVIY POLIKLINIKA,203250781,1066163,1.0,1,2019-10-31
543,544,Тошкент шаҳри,Миробод тумани,Директор ўринбосари / Заместитель директора,ЦЕНТРАЛЬНЫЙ БАНК РУЗ,201053774,2484666,1.0,3,2019-10-31
544,545,Тошкент шаҳри,Юнусобод тумани,Гардеробчи / Гардеробщик,TEMURIYLAR TARIXI DAVLAT MUZEYI,201777499,634881,1.0,1,2019-10-31
545,546,Тошкент шаҳри,Чилонзор тумани,Эпидемиолог ассистент / Ассистент эпидемиолога,RES.OITSGA QARSHI KURASH MARKA,200794684,589977,0.25,1,2019-10-31
546,547,Наманган вилояти,Чортоқ тумани,Тарбиячи / Воспитатель,26-МАКТАБГАЧА ТАЬЛИМ          МУАССАСАСИ,207024085,1038733,1.0,1,2019-10-31
547,548,Тошкент шаҳри,Миробод тумани,Бошқарма бошлиғи (давлат ҳокимияти ва бошқарув органларида) / Начальник управления (в органах государственной власти и управления),ЦЕНТРАЛЬНЫЙ БАНК РУЗ,201053774,2439174,1.0,4,2019-10-31
548,549,Қорақалпоғистон Республикаси,Беруний тумани,Корхона печлари ўт ёқувчиси / Кочегар производственных печей,N 36 УРТА МАКТАБ,203269210,652390,1.0,2,2019-10-31
549,550,Қорақалпоғистон Республикаси,Беруний тумани,Жисмоний тарбия бўйича тарбиячи / Воспитатель по физической культуре,53-МТМ,207039715,599269,0.75,1,2019-10-31
550,551,Сурхондарё вилояти,Узун тумани,Ёрдамчи ишчи / Разнорабочий,YANGIKUCH-ASL TAOMLAR ХУСУСИЙ УМУМИЙ ОВКАТЛАНИШ КОРХОНАСИ,302941379,550000,1.0,2,2019-10-31
551,552,Бухоро вилояти,Когон туман,Ижтимоий педагог / Педагог социальный,7-СОН МАКТАБ КОГОН ТУМАН,202163978,403046,0.25,1,2019-10-31
552,553,Тошкент шаҳри,Чилонзор тумани,Эпидемиолог ассистент / Ассистент эпидемиолога,RES.OITSGA QARSHI KURASH MARKA,200794684,3140582,1.0,1,2019-10-31
553,554,Бухоро вилояти,Пешку туман,Тикувчиликда андозалар тайёрловчи / Изготовитель лекал в швейном производстве,"""PESHKO  TEKSTIL KO RKI"" ОИЛАВИЙ КОРХОНА",302632589,650000,1.0,4,2019-10-31
554,555,Қорақалпоғистон Республикаси,Тахиатош,ўт ёқувчи / Истопник,СР ШК № 8,206879573,634880,1.0,1,2019-10-31
555,556,Тошкент шаҳри,Миробод тумани,Бош бошқарма бошлиғи ўринбосари / Заместитель начальника главного управления,ЦЕНТРАЛЬНЫЙ БАНК РУЗ,201053774,2371605,1.0,3,2019-10-31
556,557,Жиззах вилояти,Арнасой тумани,ўқитувчи / Учитель,АРНАСОЙ ТУМАНИ А.КОДИРИЙ НОМЛИ2-СОН УМУМИЙ УРТА ТАЪЛИМ МАК.,206879605,1776040,1.0,1,2019-10-31
557,558,Қорақалпоғистон Республикаси,Шўманай тумани,ўқитувчи / Учитель,10 УЛЫУМА ОРТА БИЛИМ БЕРИУ   МЕКТЕБИ,206883443,710416,0.5,1,2019-10-31
558,559,Тошкент шаҳри,Чилонзор тумани,Умумий амалиёт хамшираси / Медицинская сестра общей практики,RES.OITSGA QARSHI KURASH MARKA,200794684,536314,0.25,1,2019-10-31
559,560,Тошкент шаҳри,Мирзо Улуғбек тумани,Электрон станциялар муҳандиси / Инженер электрических станций,2-MARKAZIY KLINIK KASALXONASI,200540709,1242142,1.0,1,2019-10-31
560,561,Қашқадарё вилояти,Яккабоғ тумани,Бўлим бош мутахассиси (саноатда) / Главный специалист отдела (в промышленности),ОЧИК АКЦИОДОРЛИКТИЖОРАТ КИШЛОККУРИЛИШ БАНКИ ЯККАБОГ БУЛИМИ,201639946,1087038,1.0,1,2019-10-31
561,562,Тошкент шаҳри,Миробод тумани,Бўлим бошлиғи (давлат ва хўжалик бошқарув органида / Начальник отдела (органа государственного и хозяйственного управления),ЦЕНТРАЛЬНЫЙ БАНК РУЗ,201053774,2305820,1.0,2,2019-10-31
562,563,Қашқадарё вилояти,Муборак тумани,Ёрдамчи ишчи / Подсобный рабочий,MUBORAK NEFTEGAZ MONTAJ TA MIR SERVIS  МАСЪУЛИЯТИ ЧНЕКЛАНГА,301684841,730000,1.0,20,2019-10-31
563,564,Тошкент шаҳри,Чилонзор тумани,Умумий амалиёт врачи / Врач общей практики,RES.OITSGA QARSHI KURASH MARKA,200794684,3140582,1.0,1,2019-10-31
564,565,Тошкент шаҳри,Мирзо Улуғбек тумани,Инженер / Инженер,2-MARKAZIY KLINIK KASALXONASI,200540709,1242142,1.0,1,2019-10-31
565,566,Тошкент шаҳри,Миробод тумани,Бош иқтисодчи / Главный экономист,ЦЕНТРАЛЬНЫЙ БАНК РУЗ,201053774,2045579,1.0,3,2019-10-31
566,567,Наманган вилояти,Янгиқўрғон тумани,Менеджер / Бренд-менеджер,"""GREEN WINDOW"" МАСЪУЛИЯТИ ЧЕКЛАНГАН ЖАМИЯТИ",303457654,1200000,1.0,1,2019-10-31
567,568,Тошкент шаҳри,Чилонзор тумани,Умумий амалиёт врачи / Врач общей практики,RES.OITSGA QARSHI KURASH MARKA,200794684,985982,0.25,1,2019-10-31
568,569,Тошкент шаҳри,Мирзо Улуғбек тумани,Бош ошпаз / Шеф-повар,2-MARKAZIY KLINIK KASALXONASI,200540709,1047362,1.0,1,2019-10-31
569,570,Тошкент шаҳри,Миробод тумани,Бош мутахассис / Главный специалист,ЦЕНТРАЛЬНЫЙ БАНК РУЗ,201053774,2045579,1.0,1,2019-10-31
570,571,Самарқанд вилояти,Пастдарғом тумани,ўқитувчи / Учитель,84-UMUMIY O RTA TA LIM MAKATBI,206913863,1850000,1.0,1,2019-10-31
571,572,Тошкент шаҳри,Чилонзор тумани,Умумий амалиёт врачи / Врач общей практики,RES.OITSGA QARSHI KURASH MARKA,200794684,962435,0.75,1,2019-10-31
572,573,Самарқанд вилояти,Каттақўрғон тумани,Электрон-нур пайвандлаш қурилмаларида пайвандловчи / Сварщик на электронно-лучевых сварочных установках,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""NURBEKJON ASL TAMORQA XIZMATI""",306536206,745200,1.0,1,2019-10-31
573,574,Тошкент шаҳри,Миробод тумани,Юрисконсульт / Главный юрисконсульт,ЦЕНТРАЛЬНЫЙ БАНК РУЗ,201053774,2045579,1.0,2,2019-10-31
574,575,Самарқанд вилояти,Пастдарғом тумани,ўқитувчи / Учитель,84-UMUMIY O RTA TA LIM MAKATBI,206913863,925000,1.0,1,2019-10-31
575,576,Тошкент шаҳри,Сергели тумани,Психолог / Психолог,318-MAKTABGACHA TALIM MUASSASA,202870067,1614582,1.0,1,2019-10-31
576,577,Тошкент шаҳри,Шайхонтохур тумани,Бош врач ўринбосари / Заместитель главного врача,47-OILAVIY POLIKLINIKA,203270551,1024061,0.5,1,2019-10-31
577,578,Тошкент шаҳри,Чилонзор тумани,Юрисконсульт / Главный юрисконсульт,RES.OITSGA QARSHI KURASH MARKA,200794684,557108,0.5,1,2019-10-31
578,579,Самарқанд вилояти,Каттақўрғон тумани,Ёрдамчи ишчи / Разнорабочий,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""NURBEKJON ASL TAMORQA XIZMATI""",306536206,645200,1.0,1,2019-10-31
579,580,Тошкент шаҳри,Юнусобод тумани,Хизмат хоналари фарроши / Уборщик служебных помещений,246-SONLI O RTA MAKTABI,204784615,634880,1.0,5,2019-10-31
580,581,Тошкент шаҳри,Миробод тумани,Бош инспектор / Главный инспектор,ЦЕНТРАЛЬНЫЙ БАНК РУЗ,201053774,2045579,1.0,1,2019-10-31
581,582,Сурхондарё вилояти,Узун тумани,Ёрдамчи ишчи / Разнорабочий,"ЧАСТНОЕ ПРЕДПРИЯТИЕ ""SHABADA OROMGOHI""",303028547,550000,1.0,2,2019-10-31
582,583,Тошкент шаҳри,Шайхонтохур тумани,Иммунобиологик ва микробиологик припаратларининг техник мухандиси / Инженер - технолог иммунобиологических и микробиологических препаратов,47-OILAVIY POLIKLINIKA,203270551,780000,0.5,1,2019-10-31
583,584,Тошкент шаҳри,Чилонзор тумани,Бухгалтер-кассир / Бухгалтер-кассир,RES.OITSGA QARSHI KURASH MARKA,200794684,805686,1.0,1,2019-10-31
584,585,Тошкент шаҳри,Юнусобод тумани,Хизмат хоналари фарроши / Уборщик служебных помещений,246-SONLI O RTA MAKTABI,204784615,317440,0.5,1,2019-10-31
585,586,Тошкент шаҳри,Миробод тумани,Бош эксперт / Главный эксперт,ЦЕНТРАЛЬНЫЙ БАНК РУЗ,201053774,2045579,1.0,1,2019-10-31
586,587,Хоразм вилояти,Урганч шаҳар,Умумтаълим мактабларининг юқори синфлари ўқитувчиси / Учитель старших классов обшеобразовательных школ,26-СОН УМУМ.УРТА ТАЪЛИМ МАКТАБ,204304292,1065624,0.25,1,2019-10-31
587,588,Тошкент шаҳри,Чилонзор тумани,Хизмат хоналари фарроши / Уборщик служебных помещений,RES.OITSGA QARSHI KURASH MARKA,200794684,634881,1.0,1,2019-10-31
588,589,Бухоро вилояти,Пешку туман,Ёрдамчи ишчи / Разнорабочий,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ZANDANE TOMORQA XIZMAT""",305723590,750000,1.0,15,2019-10-31
589,590,Тошкент шаҳри,Юнусобод тумани,Лаборант химико-технологических исследований / Лаборант химико-технологических исследований,246-SONLI O RTA MAKTABI,204784615,702117,1.0,1,2019-10-31
590,591,Тошкент шаҳри,Миробод тумани,Етакчи иқтисодчи / Ведущий экономист,ЦЕНТРАЛЬНЫЙ БАНК РУЗ,201053774,1917800,1.0,2,2019-10-31
591,592,Тошкент шаҳри,Юнусобод тумани,Физик / Физик,246-SONLI O RTA MAKTABI,204784615,1776040,1.0,2,2019-10-31
592,593,Тошкент шаҳри,Миробод тумани,Етакчи мутахассис / Ведущий специалист,ЦЕНТРАЛЬНЫЙ БАНК РУЗ,201053774,1917800,1.0,1,2019-10-31
593,594,Тошкент шаҳри,Чилонзор тумани,Логистик / Логистик,XORAZM SHAKAR AJ QK,202586539,634700,1.0,1,2019-10-31
594,595,Тошкент шаҳри,Юнусобод тумани,Физик / Физик,246-SONLI O RTA MAKTABI,204784615,888020,0.5,1,2019-10-31
595,596,Тошкент шаҳри,Миробод тумани,Етакчи эксперт / Ведущий эксперт,ЦЕНТРАЛЬНЫЙ БАНК РУЗ,201053774,1917800,1.0,1,2019-10-31
596,597,Тошкент шаҳри,Чилонзор тумани,ўқитувчи / Учитель,294-SONLI BOLALAR BOG CHASI,206905097,342781,0.25,1,2019-10-31
597,598,Тошкент шаҳри,Чилонзор тумани,Кўтара савдо агенти / Агент по оптовым продажам,XORAZM SHAKAR AJ QK,202586539,634700,1.0,1,2019-10-31
598,599,Навоий вилояти,Қизилтепа тумани,Бўлим бошлиғи (маиший ва коммунал хизмат кўрсатишда) / Геолог участка (участковый геолог),КИЗИЛТЕПА ТУМАНИ ДСИ,200017233,1750000,1.0,1,2019-10-31
599,600,Тошкент шаҳри,Юнусобод тумани,Математик / Математик,246-SONLI O RTA MAKTABI,204784615,1776040,1.0,4,2019-10-31
600,601,Тошкент шаҳри,Миробод тумани,Иқтисодчи / Экономист,ЦЕНТРАЛЬНЫЙ БАНК РУЗ,201053774,1793589,1.0,1,2019-10-31
601,602,Сирдарё вилояти,Сайхунобод тумани,ўқитувчи / Преподаватель,N11 УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,203330112,1776040,1.0,1,2019-10-31
602,603,Тошкент шаҳри,Юнусобод тумани,Математик / Математик,246-SONLI O RTA MAKTABI,204784615,888020,0.5,1,2019-10-31
603,604,Тошкент шаҳри,Миробод тумани,Кодификатор / Кодификатор,ЦЕНТРАЛЬНЫЙ БАНК РУЗ,201053774,1241887,1.0,1,2019-10-31
604,605,Қорақалпоғистон Республикаси,Амударё тумани,қозончи / Котельщик,73-СОНЛИ УМУМИЙ УРТА ТАЪЛИМ   МАКТАБ,206914363,634880,1.0,1,2019-10-31
605,606,Сирдарё вилояти,Сайхунобод тумани,ўқитувчи / Преподаватель,N11 УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,203330112,532812,0.25,1,2019-10-31
606,607,Бухоро вилояти,Когон туман,Бош ветеринар врач / Главный ветеринарный врач,ТУМАН ВЕТЕРНАРИЯ БУЛИМИ,201172929,1114331,1.0,1,2019-10-31
607,608,Бухоро вилояти,Когон шаҳар,Ёрдамчи ишчи / Разнорабочий,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""BUXORO GYPSUM""",305131624,1000000,1.0,24,2019-10-31
608,609,Наманган вилояти,Тўрақўрғон тумани,Кир ювувчи / Прачка,ДОУ 31 - SONLI,305361798,176000,0.25,1,2019-10-31
609,610,Тошкент шаҳри,Юнусобод тумани,Умумтаълим мактабларининг юқори синфлари ўқитувчиси / Учитель старших классов обшеобразовательных школ,246-SONLI O RTA MAKTABI,204784615,1776040,1.0,3,2019-10-31
610,611,Наманган вилояти,Поп тумани,Етакчи мутахассис / Ведущий специалист,ХАЛК БАНКИ 3594,200089381,962390,1.0,1,2019-10-31
611,612,Тошкент шаҳри,Юнусобод тумани,Умумтаълим мактабларининг юқори синфлари ўқитувчиси / Учитель старших классов обшеобразовательных школ,246-SONLI O RTA MAKTABI,204784615,888020,0.5,1,2019-10-31
612,613,Тошкент шаҳри,Шайхонтохур тумани,Давлат қўмитаси раиси ёрдамчиси / Помощник председателя государственного комитета,ГОС.ИНСПЕКЦИЯ САНОАТ КОНТЕХ НА,200936657,2030402,1.0,1,2019-10-31
613,614,Қашқадарё вилояти,Яккабоғ тумани,ўт ёқувчи / Истопник,13-УМУМИЙ УРТА ТАЪЛИМ МАКТАБИ,203094328,634000,1.0,1,2019-10-31
614,615,Тошкент шаҳри,Юнусобод тумани,Умумтаълим мактабларининг юқори синфлари ўқитувчиси / Учитель старших классов обшеобразовательных школ,246-SONLI O RTA MAKTABI,204784615,1776040,1.0,4,2019-10-31
615,616,Тошкент шаҳри,Шайхонтохур тумани,Юридик хизмат бошлиғи / Начальник юридической службы,ГОС.ИНСПЕКЦИЯ САНОАТ КОНТЕХ НА,200936657,2151862,1.0,1,2019-10-31
616,617,Қорақалпоғистон Республикаси,Нукус тумани,Умумтаълим мактабларининг юқори синфлари ўқитувчиси / Учитель старших классов обшеобразовательных школ,N18 САНЛЫ ОРТА МЕКТЕП.,206871220,1153221,1.0,3,2019-10-31
617,618,Тошкент шаҳри,Юнусобод тумани,Умумтаълим мактабларининг юқори синфлари ўқитувчиси / Учитель старших классов обшеобразовательных школ,246-SONLI O RTA MAKTABI,204784615,1776040,1.0,2,2019-10-31
618,619,Сурхондарё вилояти,Термиз шаҳар,Жисмоний тарбия бўйича тарбиячи / Воспитатель по физической культуре,ТЕРМИЗ ШАХАР ДАВЛАТ 9-ИХТИСОСЛАШТИРИЛГАН ДАВЛАТ УМУМТАЛИМ М,201999429,160000,0.25,1,2019-10-31
619,620,Тошкент шаҳри,Шайхонтохур тумани,Юрисконсульт / Главный юрисконсульт,ГОС.ИНСПЕКЦИЯ САНОАТ КОНТЕХ НА,200936657,1790108,1.0,1,2019-10-31
620,621,Сурхондарё вилояти,Бойсун тумани,ўқитувчи / Учитель,42-СОНЛИ УУТ МАКТАБИ,206862714,1776000,1.0,4,2019-10-31
621,622,Тошкент шаҳри,Юнусобод тумани,"Врач-мутахассис (врач-хирургдан ташқари барча мутахассисликлар) / Врач-специалист (все специальности, кроме хирурга)",2-BOLALAR STOMATOLOGIYA POLIK,203363919,1560331,1.0,11,2019-10-31
622,623,Бухоро вилояти,Пешку туман,Ёрдамчи ишчи / Разнорабочий,PESHKO` AZAMATLARI ОИЛАВИЙ КОРХОНА,304485160,700000,1.0,2,2019-10-31
623,624,Наманган вилояти,Учқўрғон тумани,ўт ёқувчи / Истопник,БТ 22-УМУМИЙ УРТА ТАЬЛИМ МАКТА,206884631,634880,1.0,3,2019-10-31
624,625,Тошкент шаҳри,Юнусобод тумани,Умумтаълим мактабларининг юқори синфлари ўқитувчиси / Учитель старших классов обшеобразовательных школ,246-SONLI O RTA MAKTABI,204784615,888020,0.5,1,2019-10-31
625,626,Сурхондарё вилояти,Термиз шаҳар,ўқитувчи / Преподаватель,ТЕРМИЗ ШАХАР ДАВЛАТ 9-ИХТИСОСЛАШТИРИЛГАН ДАВЛАТ УМУМТАЛИМ М,201999429,320000,0.25,1,2019-10-31
626,627,Тошкент шаҳри,Шайхонтохур тумани,Аккредитация бўлими бошлиғи / Начальник отдела аккредитации,ГОС.ИНСПЕКЦИЯ САНОАТ КОНТЕХ НА,200936657,2030092,1.0,1,2019-10-31
627,628,Хоразм вилояти,Урганч шаҳар,Бетонщик / Бетонщик,УРГАНЧСУВКУРИЛИШУНИТАР КОРХО,202186735,1200000,1.0,4,2019-10-31
628,629,Сурхондарё вилояти,Бойсун тумани,Худуд фарроши / Уборщик территорий,42-СОНЛИ УУТ МАКТАБИ,206862714,350000,0.5,1,2019-10-31
629,630,Тошкент шаҳри,Юнусобод тумани,Соғлиқни сақлаш муассасаси санитари (санитаркаси) / Санитар (санитарка) в учреждении здравоохранения,2-BOLALAR STOMATOLOGIYA POLIK,203363919,968935,1.0,7,2019-10-31
630,631,Қорақалпоғистон Республикаси,Амударё тумани,қозончи / Котельщик,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""MANGIT INVEST PLYS""",301655584,320000,0.5,3,2019-10-31
631,632,Тошкент шаҳри,Шайхонтохур тумани,кўча тозаловчи / Дворник,O`ZB.MILLIY AKADEM.DRAMA TEATR,200936317,668331,1.0,2,2019-10-31
632,633,Наманган вилояти,Тўрақўрғон тумани,Тарбиячи / Воспитатель,ДОУ 31 - SONLI,305361798,808000,0.5,1,2019-10-31
633,634,Тошкент шаҳри,Юнусобод тумани,Тарихчи / Историк,246-SONLI O RTA MAKTABI,204784615,1776040,1.0,1,2019-10-31
